               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.037596,            0.011188,                   0,             0.91124,             0.83253,             0.93382,             0.40214,            0.040165,            0.019269,                   0,            0.006931,            0.006931,            0.006931
                  95,             0.03752,            0.010136,                   0,             0.91288,             0.84982,             0.92898,             0.42411,            0.039703,            0.018672,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.037465,            0.008432,                   0,             0.96438,             0.86486,             0.96086,             0.43381,            0.039364,            0.018652,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.037103,            0.010617,                   0,             0.87747,             0.97297,              0.9661,             0.41242,            0.038276,            0.018602,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.034307,            0.010152,                   0,             0.88894,             0.89189,             0.92779,             0.41012,            0.040515,            0.018837,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.033642,            0.010836,                   0,             0.88395,             0.86486,             0.90518,             0.42014,            0.040419,            0.019176,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.036908,           0.0084022,                   0,             0.84708,             0.89189,             0.92088,             0.39992,              0.0411,            0.019997,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.035542,           0.0088922,                   0,             0.97813,             0.81081,             0.90989,             0.42991,            0.039612,            0.020166,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.034966,           0.0087211,                   0,             0.88785,             0.91892,             0.93505,             0.42657,            0.038959,            0.020077,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.034344,             0.01146,                   0,             0.92079,             0.94267,             0.92607,             0.43355,            0.039985,            0.019692,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.038329,            0.010996,                   0,             0.91491,             0.94595,             0.93783,             0.45674,             0.03953,            0.019462,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.035634,            0.010703,                   0,             0.89124,             0.91892,             0.92667,             0.43454,             0.04112,            0.019391,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.036447,           0.0097318,                   0,             0.88812,             0.91892,             0.92525,             0.43174,            0.042539,             0.01901,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.035277,           0.0097294,                   0,             0.82044,             0.86446,             0.87612,             0.43575,            0.042744,            0.019155,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.035513,           0.0099235,                   0,             0.83724,             0.83427,             0.87016,             0.43122,             0.04314,            0.019202,                   0,            0.006469,            0.006469,            0.006469
                 109,             0.03548,           0.0094497,                   0,             0.77946,             0.78378,             0.83935,             0.39965,            0.043926,             0.02031,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.033117,            0.011084,                   0,             0.88499,             0.83784,             0.86711,             0.41548,            0.043157,            0.019907,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.032924,           0.0097174,                   0,             0.82519,             0.83784,             0.87052,             0.40206,            0.044475,             0.02021,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.032406,           0.0086417,                   0,             0.88631,             0.91892,             0.90358,             0.40758,            0.042832,            0.019878,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.033775,           0.0097447,                   0,              0.7944,             0.86486,             0.87757,             0.42349,            0.042198,            0.020107,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.034156,           0.0091601,                   0,             0.81691,             0.86486,             0.87496,             0.43277,            0.040137,            0.020067,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.033898,           0.0094924,                   0,              0.8792,             0.94595,             0.92727,             0.46807,            0.039488,            0.020253,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.031639,           0.0095574,                   0,             0.89087,             0.94595,             0.92808,             0.48012,            0.038887,            0.019934,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.033719,           0.0091955,                   0,             0.89054,             0.94595,             0.92949,             0.46427,            0.038345,            0.019825,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.033484,           0.0091525,                   0,             0.90014,             0.81081,             0.90184,             0.44997,            0.040519,            0.020014,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.031745,           0.0097268,                   0,              0.8611,             0.83775,             0.90528,             0.45214,            0.040349,            0.020129,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.030923,           0.0095488,                   0,              0.8264,             0.90073,             0.91723,             0.42524,            0.041168,            0.020169,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.032141,           0.0095592,                   0,             0.88446,             0.86486,             0.90383,             0.41905,            0.040614,            0.021003,                   0,             0.00604,             0.00604,             0.00604
